starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2020-08-01 00:01:06.2100,2020-08-01 00:29:18.3760,532,S 5 Pl & S 5 St,40.710451,-73.960876,347,Greenwich St & W Houston St,40.728846,-74.008591,39343,Customer,1990,2
2020-08-01 00:01:09.9670,2020-08-01 00:29:59.2100,439,E 4 St & 2 Ave,40.7262807,-73.98978041,3305,E 91 St & 2 Ave,40.7811222993417,-73.9496558904648,44899,Subscriber,1994,1
2020-08-01 00:01:11.0000,2020-08-01 00:36:26.8420,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,514,12 Ave & W 40 St,40.76087502,-74.00277668,36339,Subscriber,1979,1
2020-08-01 00:01:11.7120,2020-08-01 00:48:36.4700,3096,Union Ave & N 12 St,40.71924,-73.95242,3044,Albany Ave & Fulton St,40.6800105,-73.938475,42170,Customer,1988,1
2020-08-01 00:01:15.8640,2020-08-01 00:11:33.1650,507,E 25 St & 2 Ave,40.73912601,-73.97973776,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,44617,Customer,1989,1
2020-08-01 00:01:18.5420,2020-08-01 00:41:55.9010,3790,Henry St & Middagh St,40.7003,-73.991581,3790,Henry St & Middagh St,40.7003,-73.991581,28056,Customer,1990,1
2020-08-01 00:01:21.6370,2020-08-01 00:25:37.6430,3712,W 35 St & Dyer Ave,40.754691750226,-73.9974018931389,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,43303,Subscriber,1990,1
2020-08-01 00:01:26.1510,2020-08-01 00:33:29.1010,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3768,Waterbury St & Stagg St,40.71019,-73.93734,25784,Customer,1981,1
2020-08-01 00:01:27.1380,2020-08-01 00:29:15.5680,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,3687,E 33 St & 1 Ave,40.7432268143217,-73.9744978398085,42385,Subscriber,1985,2
2020-08-01 00:01:28.6830,2020-08-01 00:30:14.4430,3712,W 35 St & Dyer Ave,40.754691750226,-73.9974018931389,3712,W 35 St & Dyer Ave,40.754691750226,-73.9974018931389,30120,Customer,1991,1
2020-08-01 00:01:31.6610,2020-08-01 00:28:18.0890,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3910,Greene Ave & Grandview Ave,40.709697,-73.907856,31519,Customer,1988,1
2020-08-01 00:01:33.3030,2020-08-01 00:08:45.9870,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,3092,Berry St & N 8 St,40.7190095,-73.95852515,41546,Subscriber,1981,1
2020-08-01 00:01:35.0610,2020-08-01 00:09:15.9630,3735,W 30 St & 10 Ave,40.752694,-74.002353,479,9 Ave & W 45 St,40.76019252,-73.9912551,28946,Subscriber,1977,1
2020-08-01 00:01:35.2130,2020-08-01 00:55:07.0220,3501,E 118 St & Madison Ave,40.8014866,-73.9442507,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,24878,Subscriber,1970,2
2020-08-01 00:01:36.0180,2020-08-01 00:08:36.1590,3384,Smith St & 3 St,40.6787242,-73.99599099,392,Jay St & Tech Pl,40.695065,-73.987167,30777,Customer,1995,1
2020-08-01 00:01:36.2890,2020-08-01 00:27:31.3300,3737,Stanton St & Norfolk St,40.720747,-73.986274,3335,Union St & 4 Ave,40.6772744,-73.98282002,27649,Subscriber,1989,1
2020-08-01 00:01:36.2890,2020-08-01 00:27:31.3300,3737,Stanton St & Norfolk St,40.720747,-73.986274,3335,Union St & 4 Ave,40.6772744,-73.98282002,27649,Subscriber,1989,1
2020-08-01 00:01:37.0390,2020-08-01 00:36:37.2840,3918,Avenue D & E 8 St,40.72387,-73.975767,351,Front St & Maiden Ln,40.70530954,-74.00612572,35050,Customer,1999,2
